#class tools::wcsv::ntuple
#title Per-rod Left/Right photon counts per event
#separator 44
#vector_separator 59
#column int EventID
#column int iz
#column int iy
#column int Left
#column int Right
9,0,0,0,0
9,0,1,0,0
9,0,2,0,0
9,1,0,0,0
9,1,1,0,0
9,1,2,0,0
9,2,0,0,0
9,2,1,0,0
9,2,2,0,0
10,0,0,0,0
10,0,1,0,0
10,0,2,0,0
10,1,0,0,0
10,1,1,0,0
10,1,2,0,0
10,2,0,0,0
10,2,1,0,0
10,2,2,0,0
11,0,0,1,0
11,0,1,1,0
11,0,2,0,0
11,1,0,8,7
11,1,1,4,4
11,1,2,1,0
11,2,0,421,449
11,2,1,331,326
11,2,2,82,80
72,0,0,0,0
72,0,1,0,0
72,0,2,0,0
72,1,0,0,0
72,1,1,0,0
72,1,2,0,0
72,2,0,0,0
72,2,1,0,0
72,2,2,0,0
73,0,0,0,0
73,0,1,0,0
73,0,2,0,0
73,1,0,0,0
73,1,1,0,0
73,1,2,0,0
73,2,0,0,0
73,2,1,0,0
73,2,2,0,0
74,0,0,0,0
74,0,1,0,0
74,0,2,0,0
74,1,0,0,0
74,1,1,0,0
74,1,2,0,0
74,2,0,0,0
74,2,1,0,0
74,2,2,0,0
75,0,0,0,0
75,0,1,0,0
75,0,2,0,0
75,1,0,0,0
75,1,1,0,0
75,1,2,0,0
75,2,0,0,0
75,2,1,0,0
75,2,2,0,0
76,0,0,0,0
76,0,1,0,0
76,0,2,0,0
76,1,0,0,0
76,1,1,0,0
76,1,2,0,0
76,2,0,0,0
76,2,1,0,0
76,2,2,0,0
77,0,0,0,0
77,0,1,0,0
77,0,2,0,0
77,1,0,0,0
77,1,1,0,0
77,1,2,0,0
77,2,0,0,0
77,2,1,0,0
77,2,2,0,0
78,0,0,0,0
78,0,1,0,0
78,0,2,0,0
78,1,0,0,0
78,1,1,0,0
78,1,2,0,0
78,2,0,0,0
78,2,1,0,0
78,2,2,0,0
79,0,0,0,0
79,0,1,0,0
79,0,2,0,0
79,1,0,0,0
79,1,1,0,0
79,1,2,0,0
79,2,0,0,0
79,2,1,0,0
79,2,2,0,0
80,0,0,0,0
80,0,1,0,0
80,0,2,0,0
80,1,0,0,0
80,1,1,0,0
80,1,2,0,0
80,2,0,0,0
80,2,1,0,0
80,2,2,0,0
81,0,0,0,0
81,0,1,0,0
81,0,2,0,0
81,1,0,0,0
81,1,1,0,0
81,1,2,0,0
81,2,0,0,0
81,2,1,0,0
81,2,2,0,0
82,0,0,0,0
82,0,1,0,0
82,0,2,0,0
82,1,0,0,0
82,1,1,0,0
82,1,2,0,0
82,2,0,0,0
82,2,1,0,0
82,2,2,0,0
83,0,0,0,0
83,0,1,0,0
83,0,2,0,0
83,1,0,0,0
83,1,1,0,0
83,1,2,0,0
83,2,0,0,0
83,2,1,0,0
83,2,2,0,0
84,0,0,0,0
84,0,1,0,0
84,0,2,0,0
84,1,0,0,0
84,1,1,0,0
84,1,2,0,0
84,2,0,0,0
84,2,1,0,0
84,2,2,0,0
85,0,0,0,0
85,0,1,0,0
85,0,2,0,0
85,1,0,0,0
85,1,1,0,0
85,1,2,0,0
85,2,0,0,0
85,2,1,0,0
85,2,2,0,0
86,0,0,0,0
86,0,1,0,0
86,0,2,0,0
86,1,0,0,0
86,1,1,0,0
86,1,2,0,0
86,2,0,0,0
86,2,1,0,0
86,2,2,0,0
87,0,0,0,0
87,0,1,0,0
87,0,2,0,0
87,1,0,0,0
87,1,1,0,0
87,1,2,0,0
87,2,0,0,0
87,2,1,0,0
87,2,2,0,0
88,0,0,0,0
88,0,1,0,0
88,0,2,0,0
88,1,0,0,0
88,1,1,0,0
88,1,2,0,0
88,2,0,0,0
88,2,1,0,0
88,2,2,0,0
89,0,0,0,0
89,0,1,0,0
89,0,2,5,6
89,1,0,0,2
89,1,1,3,0
89,1,2,13,15
89,2,0,62,57
89,2,1,233,232
89,2,2,1603,1585
